Date,Close
1/2/2015 16:00:00,85.68
1/5/2015 16:00:00,83.27
1/6/2015 16:00:00,83.09
1/7/2015 16:00:00,84.22
1/8/2015 16:00:00,85.53
1/9/2015 16:00:00,84.44
1/12/2015 16:00:00,83.36
1/13/2015 16:00:00,83.55
1/14/2015 16:00:00,83.46
1/15/2015 16:00:00,82.25
1/16/2015 16:00:00,83.8
1/20/2015 16:00:00,84.26
1/21/2015 16:00:00,83.72
1/22/2015 16:00:00,84.38
1/23/2015 16:00:00,84.39
1/26/2015 16:00:00,83.6
1/27/2015 16:00:00,81.77
1/28/2015 16:00:00,80.74
1/29/2015 16:00:00,81.38
1/30/2015 16:00:00,82.03
2/2/2015 16:00:00,82.98
2/3/2015 16:00:00,83.81
2/4/2015 16:00:00,84.18
2/5/2015 16:00:00,85.82
2/6/2015 16:00:00,84.16
2/9/2015 16:00:00,84.59
2/10/2015 16:00:00,84.23
2/11/2015 16:00:00,84.46
2/12/2015 16:00:00,87.52
2/13/2015 16:00:00,87.14
2/17/2015 16:00:00,87.52
2/18/2015 16:00:00,87.73
2/19/2015 16:00:00,89.2
2/20/2015 16:00:00,90.79
2/23/2015 16:00:00,91.12
2/24/2015 16:00:00,91.32
2/25/2015 16:00:00,92.67
2/26/2015 16:00:00,91.26
2/27/2015 16:00:00,90.13
3/2/2015 16:00:00,92.02
3/3/2015 16:00:00,90.97
3/4/2015 16:00:00,91.71
3/5/2015 16:00:00,92.81
3/6/2015 16:00:00,90.79
3/9/2015 16:00:00,91.12
3/10/2015 16:00:00,88.84
3/11/2015 16:00:00,86.97
3/12/2015 16:00:00,89.25
3/13/2015 16:00:00,87.75
3/16/2015 16:00:00,88.71
3/17/2015 16:00:00,87.97
3/18/2015 16:00:00,88.88
3/19/2015 16:00:00,89.02
3/20/2015 16:00:00,89.82
3/23/2015 16:00:00,89.33
3/24/2015 16:00:00,89.49
3/25/2015 16:00:00,87.37
3/26/2015 16:00:00,87.93
3/27/2015 16:00:00,87.25
3/30/2015 16:00:00,87.67
3/31/2015 16:00:00,86.39
4/1/2015 16:00:00,86.74
4/2/2015 16:00:00,87.03
4/6/2015 16:00:00,87.34
4/7/2015 16:00:00,87.92
4/8/2015 16:00:00,89.32
4/9/2015 16:00:00,89.06
4/10/2015 16:00:00,88.57
4/13/2015 16:00:00,88.25
4/14/2015 16:00:00,89.12
4/15/2015 16:00:00,89.25
4/16/2015 16:00:00,88.72
4/17/2015 16:00:00,86.93
4/20/2015 16:00:00,87.33
4/21/2015 16:00:00,87.77
4/22/2015 16:00:00,91.2
4/23/2015 16:00:00,90.88
4/24/2015 16:00:00,90.72
4/27/2015 16:00:00,89.75
4/28/2015 16:00:00,90.23
4/29/2015 16:00:00,90.25
4/30/2015 16:00:00,90.21
5/1/2015 16:00:00,91.25
5/4/2015 16:00:00,91.18
5/5/2015 16:00:00,90.78
5/6/2015 16:00:00,90.57
5/7/2015 16:00:00,92.05
5/8/2015 16:00:00,93.51
5/11/2015 16:00:00,92.52
5/12/2015 16:00:00,92.39
5/13/2015 16:00:00,92.52
5/14/2015 16:00:00,93.84
5/15/2015 16:00:00,93.22
5/18/2015 16:00:00,93.08
5/19/2015 16:00:00,93.8
5/20/2015 16:00:00,93.24
5/21/2015 16:00:00,92.9
5/22/2015 16:00:00,92.69
5/26/2015 16:00:00,91.89
5/27/2015 16:00:00,92.59
5/28/2015 16:00:00,92.82
5/29/2015 16:00:00,92.26
6/1/2015 16:00:00,92.56
6/2/2015 16:00:00,93.17
6/3/2015 16:00:00,93.5
6/4/2015 16:00:00,92.57
6/5/2015 16:00:00,92.62
6/8/2015 16:00:00,91.9
6/9/2015 16:00:00,92.09
6/10/2015 16:00:00,94.17
6/11/2015 16:00:00,94.5
6/12/2015 16:00:00,93.77
6/15/2015 16:00:00,93.3
6/16/2015 16:00:00,94.15
6/17/2015 16:00:00,94.45
6/18/2015 16:00:00,96.05
6/19/2015 16:00:00,94.81
6/22/2015 16:00:00,95.42
6/23/2015 16:00:00,95.7
6/24/2015 16:00:00,95.51
6/25/2015 16:00:00,94.46
6/26/2015 16:00:00,94.51
6/29/2015 16:00:00,92.52
6/30/2015 16:00:00,93.48
7/1/2015 16:00:00,94.5
7/2/2015 16:00:00,94.24
7/6/2015 16:00:00,94.52
7/7/2015 16:00:00,93.89
7/8/2015 16:00:00,92.49
7/9/2015 16:00:00,93.04
7/10/2015 16:00:00,94.62
7/13/2015 16:00:00,95.5
7/14/2015 16:00:00,95.27
7/15/2015 16:00:00,95.25
7/16/2015 16:00:00,95.82
7/17/2015 16:00:00,96.08
7/20/2015 16:00:00,97.26
7/21/2015 16:00:00,96.71
7/22/2015 16:00:00,96.88
7/23/2015 16:00:00,95.16
7/24/2015 16:00:00,95.83
7/27/2015 16:00:00,94.39
7/28/2015 16:00:00,95.16
7/29/2015 16:00:00,96.73
7/30/2015 16:00:00,98.41
7/31/2015 16:00:00,97.4
8/3/2015 16:00:00,97.44
8/4/2015 16:00:00,97.3
8/5/2015 16:00:00,98.27
8/6/2015 16:00:00,97.16
8/7/2015 16:00:00,97.77
8/10/2015 16:00:00,98.08
8/11/2015 16:00:00,97.2
8/12/2015 16:00:00,97.04
8/13/2015 16:00:00,97.23
8/14/2015 16:00:00,97.89
8/17/2015 16:00:00,97.86
8/18/2015 16:00:00,97.6
8/19/2015 16:00:00,96.6
8/20/2015 16:00:00,94.56
8/21/2015 16:00:00,90.68
8/24/2015 16:00:00,87.83
8/25/2015 16:00:00,86.82
8/26/2015 16:00:00,91.71
8/27/2015 16:00:00,94.05
8/28/2015 16:00:00,94.08
